external_id,vehicle_name,vehicle_index,use_custom_tour_data,custom_tour_start_date,custom_tour_end_date,custom_total_estimated_miles,custom_tour_days,custom_billed_bus_days,custom_main_driver_days
29350,Attitude,0,false,,,,,,
29350,Liberty,3,false,,,,,,
29350,Temptation,4,false,,,,,,
29351,Attitude,0,false,,,,,,
29351,Liberty,3,false,,,,,,
29351,Temptation,4,false,,,,,,
30387,Conspiracy,0,false,,,,,,
30387,Matador,1,false,,,,,,
30390,Adrenaline,0,false,,,,,,
30390,Anonymous,1,false,,,,,,
30390,Attitude,2,false,,,,,,
30438,Snowman,0,false,,,,,,
30439,Snowman,0,false,,,,,,
30444,Phantom,1,false,,,,,,
30447,Tupelo Honey,1,false,,,,,,
30463,Legacy,0,false,,,,,,
30464,Aspen,0,false,,,,,,
30464,Havana,1,false,,,,,,
30464,Hickory,2,false,,,,,,
30464,Summit,3,false,,,,,,
30467,Attitude,0,false,,,,,,
30467,Vortex,1,false,,,,,,
30471,Marshall,0,false,,,,,,
30471,Sapphire,1,false,,,,,,
30473,Conspiracy,1,false,,,,,,
30473,Vortex,2,false,,,,,,
30490,Carrera,0,false,,,,,,
30490,Sapphire,3,false,,,,,,
