name,legal_name,address,city,state,zip
Tucker Wetmore,Tucker Wetmore,1212 8th Ave S #102,Nashville,TN,37203
Jordan Davis,Jordan Davis,2300 Charlotte Ave Suite 103,Nashville,TN,37203
Brothers Osborne,Brothers Osborne,,,,
The Warning,The Warning,,,,
John Crist,John Crist,,,,
Megan Moroney,Megan Moroney,,,,
The Fray,The Fray,,,,
Mac Demarco,Mac Demarco,,,,
LCD Soundsystem,LCD Soundsystem,"232 Madison Ave, Mezzanine",New York,NY,10016
Young The Giant,Young The Giant,"c/o Gelfand, Rennert & Feldman, LLC, 15821 Ventura Blvd, Ste 270",Encino,CA,91436
Yellowcard,Yellowcard,"c/o Zeisler, Zeisler, Rawson & Johnson LLP, 901 A Street, Suite C",San Rafael,CA,94901
Stone Temple Pilots,Stone Temple Pilots,"c/o Glass Jacobson Malek LLP, 2850 Ocean Park Blvd., Ste 300",Santa Monica,CA,90405
Post Malone,Post Malone,10960 Wilshire Blvd  5th floor,Los Angeles,CA,90024
Underworld,Underworld,,,,
Daniel Donato,Daniel Donato,,,,
CAIN,CAIN,,,,
Kesha,Kesha,,,,
The Mountain Goats,The Mountain Goats,,,,
Muscadine Bloodline,Muscadine Bloodline,,,,
